Checking duplicate records in file ticdata2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2323,26,1,1,6,6,0,5,1,4,1,1,8,7,2,0,0,0,9,0,0,1,1,5,3,0,0,1,3,6,9,0,1,0,8,6,3,8,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26_1_1_6_6_0_5_1_4_1_1_8_7_2_0_0_0_9_0_0_1_1_5_3_0_0_1_3_6_9_0_1_0_8_6_3_8_1_0_0_0_2_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_26_1_1_6_6_0_5_1_4_1_1_8_7_2_0_0_0_9_0_0_1_1_5_3_0_0_1_3_6_9_0_1_0_8_6_3_8_1_0_0_0_2_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5695,26,1,1,6,6,0,5,1,4,1,1,8,7,2,0,0,0,9,0,0,1,1,5,3,0,0,1,3,6,9,0,1,0,8,6,3,8,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26_1_1_6_6_0_5_1_4_1_1_8_7_2_0_0_0_9_0_0_1_1_5_3_0_0_1_3_6_9_0_1_0_8_6_3_8_1_0_0_0_2_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_26_1_1_6_6_0_5_1_4_1_1_8_7_2_0_0_0_9_0_0_1_1_5_3_0_0_1_3_6_9_0_1_0_8_6_3_8_1_0_0_0_2_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1158,26,1,2,4,6,0,7,0,2,4,0,5,4,5,1,1,3,5,2,0,0,4,1,3,1,3,2,2,3,8,1,2,1,7,8,1,4,4,2,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26_1_2_4_6_0_7_0_2_4_0_5_4_5_1_1_3_5_2_0_0_4_1_3_1_3_2_2_3_8_1_2_1_7_8_1_4_4_2_0_0_3_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_26_1_2_4_6_0_7_0_2_4_0_5_4_5_1_1_3_5_2_0_0_4_1_3_1_3_2_2_3_8_1_2_1_7_8_1_4_4_2_0_0_3_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4883,26,1,2,4,6,0,7,0,2,4,0,5,4,5,1,1,3,5,2,0,0,4,1,3,1,3,2,2,3,8,1,2,1,7,8,1,4,4,2,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26_1_2_4_6_0_7_0_2_4_0_5_4_5_1_1_3_5_2_0_0_4_1_3_1_3_2_2_3_8_1_2_1_7_8_1_4_4_2_0_0_3_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_26_1_2_4_6_0_7_0_2_4_0_5_4_5_1_1_3_5_2_0_0_4_1_3_1_3_2_2_3_8_1_2_1_7_8_1_4_4_2_0_0_3_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
4651,27,1,3,3,6,2,5,2,1,7,0,2,2,2,6,1,5,3,2,1,1,3,2,3,2,1,5,3,0,3,6,7,1,2,4,5,1,3,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27_1_3_3_6_2_5_2_1_7_0_2_2_2_6_1_5_3_2_1_1_3_2_3_2_1_5_3_0_3_6_7_1_2_4_5_1_3_6_1_0_4_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_27_1_3_3_6_2_5_2_1_7_0_2_2_2_6_1_5_3_2_1_1_3_2_3_2_1_5_3_0_3_6_7_1_2_4_5_1_3_6_1_0_4_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3851,27,1,3,3,6,2,5,2,1,7,0,2,2,2,6,1,5,3,2,1,1,3,2,3,2,1,5,3,0,3,6,7,1,2,4,5,1,3,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27_1_3_3_6_2_5_2_1_7_0_2_2_2_6_1_5_3_2_1_1_3_2_3_2_1_5_3_0_3_6_7_1_2_4_5_1_3_6_1_0_4_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_27_1_3_3_6_2_5_2_1_7_0_2_2_2_6_1_5_3_2_1_1_3_2_3_2_1_5_3_0_3_6_7_1_2_4_5_1_3_6_1_0_4_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2778,27,2,2,4,6,0,4,2,3,5,0,4,4,2,4,0,0,9,0,0,2,2,3,3,0,0,2,3,5,9,0,7,0,2,9,0,2,7,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27_2_2_4_6_0_4_2_3_5_0_4_4_2_4_0_0_9_0_0_2_2_3_3_0_0_2_3_5_9_0_7_0_2_9_0_2_7_0_0_0_3_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_27_2_2_4_6_0_4_2_3_5_0_4_4_2_4_0_0_9_0_0_2_2_3_3_0_0_2_3_5_9_0_7_0_2_9_0_2_7_0_0_0_3_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1970,27,2,2,4,6,0,4,2,3,5,0,4,4,2,4,0,0,9,0,0,2,2,3,3,0,0,2,3,5,9,0,7,0,2,9,0,2,7,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27_2_2_4_6_0_4_2_3_5_0_4_4_2_4_0_0_9_0_0_2_2_3_3_0_0_2_3_5_9_0_7_0_2_9_0_2_7_0_0_0_3_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_27_2_2_4_6_0_4_2_3_5_0_4_4_2_4_0_0_9_0_0_2_2_3_3_0_0_2_3_5_9_0_7_0_2_9_0_2_7_0_0_0_3_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
1304,27,2,2,5,6,1,5,3,1,7,0,2,2,6,1,2,4,4,2,1,2,2,0,3,1,1,5,2,0,8,1,8,0,1,7,2,2,7,1,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27_2_2_5_6_1_5_3_1_7_0_2_2_6_1_2_4_4_2_1_2_2_0_3_1_1_5_2_0_8_1_8_0_1_7_2_2_7_1_0_0_3_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_27_2_2_5_6_1_5_3_1_7_0_2_2_6_1_2_4_4_2_1_2_2_0_3_1_1_5_2_0_8_1_8_0_1_7_2_2_7_1_0_0_3_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
478,27,2,2,5,6,1,5,3,1,7,0,2,2,6,1,2,4,4,2,1,2,2,0,3,1,1,5,2,0,8,1,8,0,1,7,2,2,7,1,0,0,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27_2_2_5_6_1_5_3_1_7_0_2_2_6_1_2_4_4_2_1_2_2_0_3_1_1_5_2_0_8_1_8_0_1_7_2_2_7_1_0_0_3_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_27_2_2_5_6_1_5_3_1_7_0_2_2_6_1_2_4_4_2_1_2_2_0_3_1_1_5_2_0_8_1_8_0_1_7_2_2_7_1_0_0_3_1_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
886,27,2,2,5,6,1,5,3,1,7,0,2,2,6,1,2,4,4,2,1,2,2,0,3,1,1,5,2,0,8,1,8,0,1,7,2,2,7,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27_2_2_5_6_1_5_3_1_7_0_2_2_6_1_2_4_4_2_1_2_2_0_3_1_1_5_2_0_8_1_8_0_1_7_2_2_7_1_0_0_3_1_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_27_2_2_5_6_1_5_3_1_7_0_2_2_6_1_2_4_4_2_1_2_2_0_3_1_1_5_2_0_8_1_8_0_1_7_2_2_7_1_0_0_3_1_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
5420,27,2,2,5,6,1,5,3,1,7,0,2,2,6,1,2,4,4,2,1,2,2,0,3,1,1,5,2,0,8,1,8,0,1,7,2,2,7,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27_2_2_5_6_1_5_3_1_7_0_2_2_6_1_2_4_4_2_1_2_2_0_3_1_1_5_2_0_8_1_8_0_1_7_2_2_7_1_0_0_3_1_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_27_2_2_5_6_1_5_3_1_7_0_2_2_6_1_2_4_4_2_1_2_2_0_3_1_1_5_2_0_8_1_8_0_1_7_2_2_7_1_0_0_3_1_2_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
4748,28,7,2,6,6,0,6,2,2,9,0,0,4,2,4,2,1,6,5,2,0,0,3,0,2,1,4,0,4,4,5,6,3,0,0,9,7,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28_7_2_6_6_0_6_2_2_9_0_0_4_2_4_2_1_6_5_2_0_0_3_0_2_1_4_0_4_4_5_6_3_0_0_9_7_0_1_2_0_3_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_28_7_2_6_6_0_6_2_2_9_0_0_4_2_4_2_1_6_5_2_0_0_3_0_2_1_4_0_4_4_5_6_3_0_0_9_7_0_1_2_0_3_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2374,28,7,2,6,6,0,6,2,2,9,0,0,4,2,4,2,1,6,5,2,0,0,3,0,2,1,4,0,4,4,5,6,3,0,0,9,7,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28_7_2_6_6_0_6_2_2_9_0_0_4_2_4_2_1_6_5_2_0_0_3_0_2_1_4_0_4_4_5_6_3_0_0_9_7_0_1_2_0_3_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_28_7_2_6_6_0_6_2_2_9_0_0_4_2_4_2_1_6_5_2_0_0_3_0_2_1_4_0_4_4_5_6_3_0_0_9_7_0_1_2_0_3_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5530,29,1,2,3,7,1,4,1,4,5,1,4,3,3,3,0,4,5,1,1,1,4,2,2,1,2,3,4,1,2,7,5,1,4,7,2,3,3,3,0,0,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29_1_2_3_7_1_4_1_4_5_1_4_3_3_3_0_4_5_1_1_1_4_2_2_1_2_3_4_1_2_7_5_1_4_7_2_3_3_3_0_0_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_29_1_2_3_7_1_4_1_4_5_1_4_3_3_3_0_4_5_1_1_1_4_2_2_1_2_3_4_1_2_7_5_1_4_7_2_3_3_3_0_0_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
1073,29,1,2,3,7,1,4,1,4,5,1,4,3,3,3,0,4,5,1,1,1,4,2,2,1,2,3,4,1,2,7,5,1,4,7,2,3,3,3,0,0,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29_1_2_3_7_1_4_1_4_5_1_4_3_3_3_0_4_5_1_1_1_4_2_2_1_2_3_4_1_2_7_5_1_4_7_2_3_3_3_0_0_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_29_1_2_3_7_1_4_1_4_5_1_4_3_3_3_0_4_5_1_1_1_4_2_2_1_2_3_4_1_2_7_5_1_4_7_2_3_3_3_0_0_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3813,29,1,3,3,7,0,6,2,2,7,0,2,2,3,5,1,4,5,1,1,2,3,2,1,2,2,0,5,0,4,5,6,1,2,8,1,3,5,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29_1_3_3_7_0_6_2_2_7_0_2_2_3_5_1_4_5_1_1_2_3_2_1_2_2_0_5_0_4_5_6_1_2_8_1_3_5_1_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_29_1_3_3_7_0_6_2_2_7_0_2_2_3_5_1_4_5_1_1_2_3_2_1_2_2_0_5_0_4_5_6_1_2_8_1_3_5_1_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
2672,29,1,3,3,7,0,6,2,2,7,0,2,2,3,5,1,4,5,1,1,2,3,2,1,2,2,0,5,0,4,5,6,1,2,8,1,3,5,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29_1_3_3_7_0_6_2_2_7_0_2_2_3_5_1_4_5_1_1_2_3_2_1_2_2_0_5_0_4_5_6_1_2_8_1_3_5_1_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_29_1_3_3_7_0_6_2_2_7_0_2_2_3_5_1_4_5_1_1_2_3_2_1_2_2_0_5_0_4_5_6_1_2_8_1_3_5_1_0_1_4_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_3_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3160,29,1,3,3,7,2,3,2,4,5,2,3,1,3,5,1,1,8,1,0,0,7,1,1,0,1,1,5,3,1,8,5,2,3,6,3,1,7,1,1,1,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29_1_3_3_7_2_3_2_4_5_2_3_1_3_5_1_1_8_1_0_0_7_1_1_0_1_1_5_3_1_8_5_2_3_6_3_1_7_1_1_1_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_29_1_3_3_7_2_3_2_4_5_2_3_1_3_5_1_1_8_1_0_0_7_1_1_0_1_1_5_3_1_8_5_2_3_6_3_1_7_1_1_1_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
3719,29,1,3,3,7,2,3,2,4,5,2,3,1,3,5,1,1,8,1,0,0,7,1,1,0,1,1,5,3,1,8,5,2,3,6,3,1,7,1,1,1,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29_1_3_3_7_2_3_2_4_5_2_3_1_3_5_1_1_8_1_0_0_7_1_1_0_1_1_5_3_1_8_5_2_3_6_3_1_7_1_1_1_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_29_1_3_3_7_2_3_2_4_5_2_3_1_3_5_1_1_8_1_0_0_7_1_1_0_1_1_5_3_1_8_5_2_3_6_3_1_7_1_1_1_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_2_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
2167,29,1,3,4,7,2,4,0,4,7,0,2,0,3,6,1,1,7,2,0,0,3,3,3,1,0,2,5,2,1,8,5,2,2,7,2,0,7,2,0,0,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29_1_3_4_7_2_4_0_4_7_0_2_0_3_6_1_1_7_2_0_0_3_3_3_1_0_2_5_2_1_8_5_2_2_7_2_0_7_2_0_0_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_29_1_3_4_7_2_4_0_4_7_0_2_0_3_6_1_1_7_2_0_0_3_3_3_1_0_2_5_2_1_8_5_2_2_7_2_0_7_2_0_0_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
175,29,1,3,4,7,2,4,0,4,7,0,2,0,3,6,1,1,7,2,0,0,3,3,3,1,0,2,5,2,1,8,5,2,2,7,2,0,7,2,0,0,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29_1_3_4_7_2_4_0_4_7_0_2_0_3_6_1_1_7_2_0_0_3_3_3_1_0_2_5_2_1_8_5_2_2_7_2_0_7_2_0_0_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_29_1_3_4_7_2_4_0_4_7_0_2_0_3_6_1_1_7_2_0_0_3_3_3_1_0_2_5_2_1_8_5_2_2_7_2_0_7_2_0_0_3_3_2_0_0_6_0_0_0_0_0_0_0_0_0_0_0_4_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0
193,2,1,2,3,1,1,5,1,3,5,1,4,3,3,4,2,2,6,1,1,1,2,4,2,1,1,2,5,1,4,5,6,1,2,7,2,3,5,2,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2_1_2_3_1_1_5_1_3_5_1_4_3_3_4_2_2_6_1_1_1_2_4_2_1_1_2_5_1_4_5_6_1_2_7_2_3_5_2_0_0_3_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_1_2_3_1_1_5_1_3_5_1_4_3_3_4_2_2_6_1_1_1_2_4_2_1_1_2_5_1_4_5_6_1_2_7_2_3_5_2_0_0_3_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
5362,2,1,2,3,1,1,5,1,3,5,1,4,3,3,4,2,2,6,1,1,1,2,4,2,1,1,2,5,1,4,5,6,1,2,7,2,3,5,2,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2_1_2_3_1_1_5_1_3_5_1_4_3_3_4_2_2_6_1_1_1_2_4_2_1_1_2_5_1_4_5_6_1_2_7_2_3_5_2_0_0_3_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_1_2_3_1_1_5_1_3_5_1_4_3_3_4_2_2_6_1_1_1_2_4_2_1_1_2_5_1_4_5_6_1_2_7_2_3_5_2_0_0_3_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3144,2,1,2,4,1,0,5,2,2,7,0,2,2,5,3,0,0,9,0,0,0,2,7,0,0,0,0,9,0,5,4,9,0,0,9,0,5,4,0,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2_1_2_4_1_0_5_2_2_7_0_2_2_5_3_0_0_9_0_0_0_2_7_0_0_0_0_9_0_5_4_9_0_0_9_0_5_4_0_0_0_3_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_1_2_4_1_0_5_2_2_7_0_2_2_5_3_0_0_9_0_0_0_2_7_0_0_0_0_9_0_5_4_9_0_0_9_0_5_4_0_0_0_3_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
2859,2,1,2,4,1,0,5,2,2,7,0,2,2,5,3,0,0,9,0,0,0,2,7,0,0,0,0,9,0,5,4,9,0,0,9,0,5,4,0,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2_1_2_4_1_0_5_2_2_7_0_2_2_5_3_0_0_9_0_0_0_2_7_0_0_0_0_9_0_5_4_9_0_0_9_0_5_4_0_0_0_3_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_2_1_2_4_1_0_5_2_2_7_0_2_2_5_3_0_0_9_0_0_0_2_7_0_0_0_0_9_0_5_4_9_0_0_9_0_5_4_0_0_0_3_6_0_0_0_6_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
